NUMERO_JRV,NOMBRE_DEPARTAMENTO,NOMBRE_MUNICIPIO,NOMBRE_CENTRO,Votantes
1,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
2,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
3,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
4,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
5,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
6,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
7,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
8,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
9,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
10,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
11,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
12,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
13,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,345
14,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,344
15,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,344
16,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,344
17,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,344
18,ATLANTIDA,LA CEIBA,CENTRO EVANGELICO BETHEL,344
19,ATLANTIDA,LA CEIBA,ESC. ATENEA,318
20,ATLANTIDA,LA CEIBA,ESC. ATENEA,318
21,ATLANTIDA,LA CEIBA,ESC. ATENEA,317
22,ATLANTIDA,LA CEIBA,ESC. ATENEA,317
23,ATLANTIDA,LA CEIBA,ESC. ATENEA,317
24,ATLANTIDA,LA CEIBA,ESC. AGUSTO C. COELLO,316
25,ATLANTIDA,LA CEIBA,ESC. AGUSTO C. COELLO,316
26,ATLANTIDA,LA CEIBA,ESC. AGUSTO C. COELLO,316
27,ATLANTIDA,LA CEIBA,ESC. AGUSTO C. COELLO,316
28,ATLANTIDA,LA CEIBA,GUARDERIA INFANTIL,320
29,ATLANTIDA,LA CEIBA,GUARDERIA INFANTIL,320
30,ATLANTIDA,LA CEIBA,GUARDERIA INFANTIL,320
31,ATLANTIDA,LA CEIBA,GUARDERIA INFANTIL,320
32,ATLANTIDA,LA CEIBA,JARDIN DE NIÑOS CLARA DE BARTON,287
33,ATLANTIDA,LA CEIBA,JARDIN DE NIÑOS CLARA DE BARTON,286
34,ATLANTIDA,LA CEIBA,LOCAL COLEGIO DE ABOGADOS,317
35,ATLANTIDA,LA CEIBA,LOCAL COLEGIO DE ABOGADOS,317
36,ATLANTIDA,LA CEIBA,LOCAL COLEGIO DE ABOGADOS,317
37,ATLANTIDA,LA CEIBA,LOCAL COLEGIO DE ABOGADOS,316
38,ATLANTIDA,LA CEIBA,ESC. JUAN MANUEL GALVEZ,345
39,ATLANTIDA,LA CEIBA,ESC. JUAN MANUEL GALVEZ,344
40,ATLANTIDA,LA CEIBA,ESC. JUAN MANUEL GALVEZ,344
41,ATLANTIDA,LA CEIBA,ESC. JUAN MANUEL GALVEZ,344
42,ATLANTIDA,LA CEIBA,ESC. JUAN MANUEL GALVEZ,344
43,ATLANTIDA,LA CEIBA,ESC. RAMON QUINTANILLA JACOME,308
44,ATLANTIDA,LA CEIBA,ESC. RAMON QUINTANILLA JACOME,308
45,ATLANTIDA,LA CEIBA,ESC. RAMON QUINTANILLA JACOME,308
46,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
47,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
48,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
49,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
50,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
51,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
52,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
53,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
54,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
55,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
56,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,354
57,ATLANTIDA,LA CEIBA,ESC. RAFAELA H. RODRIGUEZ,353
58,ATLANTIDA,LA CEIBA,CEBG. JUAN MANUEL MORA DURON,181
59,ATLANTIDA,LA CEIBA,INSTITUTO OFICIAL LA CEIBA,319
60,ATLANTIDA,LA CEIBA,INSTITUTO OFICIAL LA CEIBA,319
61,ATLANTIDA,LA CEIBA,INSTITUTO OFICIAL LA CEIBA,318
62,ATLANTIDA,LA CEIBA,CEB GUSTAVO A. CASTAÑEDA,368
63,ATLANTIDA,LA CEIBA,CEB GUSTAVO A. CASTAÑEDA,368
64,ATLANTIDA,LA CEIBA,CEB GUSTAVO A. CASTAÑEDA,368
65,ATLANTIDA,LA CEIBA,CEB GUSTAVO A. CASTAÑEDA,368
66,ATLANTIDA,LA CEIBA,CEB GUSTAVO A. CASTAÑEDA,367
67,ATLANTIDA,LA CEIBA,CEB GUSTAVO A. CASTAÑEDA,367
68,ATLANTIDA,LA CEIBA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,340
69,ATLANTIDA,LA CEIBA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,340
70,ATLANTIDA,LA CEIBA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,339
71,ATLANTIDA,LA CEIBA,CENTRO DE RECURSO PARA LA INCLUSIÓN EDUCATIVA,339
72,ATLANTIDA,LA CEIBA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,329
73,ATLANTIDA,LA CEIBA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,329
74,ATLANTIDA,LA CEIBA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,328
75,ATLANTIDA,LA CEIBA,JARDIN DE NIÑOS ALFONZO GUILLEN ZELAYA,328
76,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
77,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
78,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
79,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
80,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
81,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
82,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
83,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,352
84,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,351
85,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD CABAÑAS,351
86,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,336
87,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
88,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
89,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
90,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
91,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
92,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
93,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
94,ATLANTIDA,LA CEIBA,CEB JOSE CECIIO DEL VALLE,335
95,ATLANTIDA,LA CEIBA,INST. MANUEL BONILLA,322
96,ATLANTIDA,LA CEIBA,INST. MANUEL BONILLA,322
97,ATLANTIDA,LA CEIBA,INST. MANUEL BONILLA,322
98,ATLANTIDA,LA CEIBA,INST. MANUEL BONILLA,322
99,ATLANTIDA,LA CEIBA,INST. MANUEL BONILLA,322
100,ATLANTIDA,LA CEIBA,INST. MANUEL BONILLA,322
101,ATLANTIDA,LA CEIBA,ESC. MARCO ANTONIO PONCE,314
102,ATLANTIDA,LA CEIBA,ESC. MARCO ANTONIO PONCE,314
103,ATLANTIDA,LA CEIBA,ESC. MARCO ANTONIO PONCE,314
104,ATLANTIDA,LA CEIBA,ESC. MARCO ANTONIO PONCE,314
105,ATLANTIDA,LA CEIBA,ESC. MARCO ANTONIO PONCE,314
106,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
107,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
108,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
109,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
110,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
111,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
112,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
113,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
114,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
115,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,347
116,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,346
117,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,346
118,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,346
119,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,346
120,ATLANTIDA,LA CEIBA,CEB RAFAEL  PINEDA PONCE,346
121,ATLANTIDA,LA CEIBA,GIMNASIO JOSE SIMON AZCONA,340
122,ATLANTIDA,LA CEIBA,GIMNASIO JOSE SIMON AZCONA,340
123,ATLANTIDA,LA CEIBA,GIMNASIO JOSE SIMON AZCONA,340
124,ATLANTIDA,LA CEIBA,GIMNASIO JOSE SIMON AZCONA,340
125,ATLANTIDA,LA CEIBA,GIMNASIO JOSE SIMON AZCONA,339
126,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,354
127,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,354
128,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,354
129,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,354
130,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,354
131,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,354
132,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,353
133,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DEL JAPON,353
134,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,338
135,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,338
136,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,338
137,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
138,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
139,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
140,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
141,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
142,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
143,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
144,ATLANTIDA,LA CEIBA,ESC. LEMPIRA,337
145,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
146,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
147,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
148,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
149,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
150,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
151,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
152,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
153,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
154,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
155,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
156,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
157,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
158,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
159,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
160,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
161,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
162,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
163,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,351
164,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,350
165,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,350
166,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,350
167,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,350
168,ATLANTIDA,LA CEIBA,INST. JUAN PINEDA CARIAS,350
169,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,329
170,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,328
171,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,328
172,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,328
173,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,328
174,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,328
175,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,328
176,ATLANTIDA,LA CEIBA,ESC. 10 DE SEPTIEMBRE,328
177,ATLANTIDA,LA CEIBA,CEB. EVA BERTOT DE MAZIER,320
178,ATLANTIDA,LA CEIBA,CEB. EVA BERTOT DE MAZIER,320
179,ATLANTIDA,LA CEIBA,CEB. EVA BERTOT DE MAZIER,320
180,ATLANTIDA,LA CEIBA,CEB. EVA BERTOT DE MAZIER,320
181,ATLANTIDA,LA CEIBA,CEB. EVA BERTOT DE MAZIER,320
182,ATLANTIDA,LA CEIBA,CEB. EVA BERTOT DE MAZIER,319
183,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
184,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
185,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
186,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
187,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
188,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
189,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
190,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
191,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
192,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,346
193,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
194,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
195,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
196,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
197,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
198,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
199,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
200,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
201,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
202,ATLANTIDA,LA CEIBA,CEB CLAUDIO BARRERA,345
203,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
204,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
205,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
206,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
207,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
208,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
209,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
210,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,355
211,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,354
212,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,354
213,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,354
214,ATLANTIDA,LA CEIBA,ESC. POLICARPO PAZ GARCIA,354
215,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,338
216,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,338
217,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,338
218,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,338
219,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,338
220,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,337
221,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,337
222,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,337
223,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,337
224,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,337
225,ATLANTIDA,LA CEIBA,ESC. JOSE TRINIDAD REYES,337
226,ATLANTIDA,LA CEIBA,ESC. FERNANDO SOTO HENRIQUEZ,269
227,ATLANTIDA,LA CEIBA,ESC. FERNANDO SOTO HENRIQUEZ,269
228,ATLANTIDA,LA CEIBA,ESC. FERNANDO SOTO HENRIQUEZ,269
229,ATLANTIDA,LA CEIBA,ESC. JESUS AGUILAR PAZ,322
230,ATLANTIDA,LA CEIBA,ESC. JESUS AGUILAR PAZ,322
231,ATLANTIDA,LA CEIBA,ESC. JESUS AGUILAR PAZ,322
232,ATLANTIDA,LA CEIBA,ESC. JESUS AGUILAR PAZ,321
233,ATLANTIDA,LA CEIBA,ESC. JESUS AGUILAR PAZ,321
234,ATLANTIDA,LA CEIBA,ESC. RAFAEL BARDALES BUESO,349
235,ATLANTIDA,LA CEIBA,ESC. RAFAEL BARDALES BUESO,349
236,ATLANTIDA,LA CEIBA,ESC. RAFAEL BARDALES BUESO,348
237,ATLANTIDA,LA CEIBA,ESC. RAFAEL BARDALES BUESO,348
238,ATLANTIDA,LA CEIBA,ESC. RAFAEL BARDALES BUESO,348
239,ATLANTIDA,LA CEIBA,ESC. JUANA REYES DE MARESMA,334
240,ATLANTIDA,LA CEIBA,ESC. JUANA REYES DE MARESMA,333
241,ATLANTIDA,LA CEIBA,ESC. JUANA REYES DE MARESMA,333
242,ATLANTIDA,LA CEIBA,ESC. JUANA REYES DE MARESMA,333
243,ATLANTIDA,LA CEIBA,ESC. JUANA REYES DE MARESMA,333
244,ATLANTIDA,LA CEIBA,ESC. JUANA REYES DE MARESMA,333
245,ATLANTIDA,LA CEIBA,CEB. ENRIQUE ORTEZ PINEL,296
246,ATLANTIDA,LA CEIBA,CEB. ENRIQUE ORTEZ PINEL,295
247,ATLANTIDA,LA CEIBA,CEB. ENRIQUE ORTEZ PINEL,295
248,ATLANTIDA,LA CEIBA,CEB. ENRIQUE ORTEZ PINEL,295
249,ATLANTIDA,LA CEIBA,ESC. JOSE ARTURO SANTOS,217
250,ATLANTIDA,LA CEIBA,ESC. JOSE ARTURO SANTOS,217
251,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,340
252,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
253,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
254,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
255,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
256,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
257,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
258,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
259,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
260,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
261,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
262,ATLANTIDA,LA CEIBA,CEB JOSE VALENTIN VASQUEZ,339
263,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
264,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
265,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
266,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
267,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
268,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
269,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
270,ATLANTIDA,LA CEIBA,CEB. MIGUEL PAZ BARAHONA,350
271,ATLANTIDA,LA CEIBA,INST. MARCIO RENE ESPINAL,331
272,ATLANTIDA,LA CEIBA,INST. MARCIO RENE ESPINAL,330
273,ATLANTIDA,LA CEIBA,INST. MARCIO RENE ESPINAL,330
274,ATLANTIDA,LA CEIBA,INST. MARCIO RENE ESPINAL,330
275,ATLANTIDA,LA CEIBA,INST. MARCIO RENE ESPINAL,330
276,ATLANTIDA,LA CEIBA,INST. MARCIO RENE ESPINAL,330
277,ATLANTIDA,LA CEIBA,INST. MARCIO RENE ESPINAL,330
278,ATLANTIDA,LA CEIBA,LOCAL CAMARA JUNIOR,361
279,ATLANTIDA,LA CEIBA,LOCAL CAMARA JUNIOR,360
280,ATLANTIDA,LA CEIBA,LOCAL CAMARA JUNIOR,360
281,ATLANTIDA,LA CEIBA,CEB CRISTOBAL COLON,341
282,ATLANTIDA,LA CEIBA,CEB CRISTOBAL COLON,341
283,ATLANTIDA,LA CEIBA,CEB CRISTOBAL COLON,341
284,ATLANTIDA,LA CEIBA,CEB CRISTOBAL COLON,341
285,ATLANTIDA,LA CEIBA,CEB CRISTOBAL COLON,341
286,ATLANTIDA,LA CEIBA,CEB CRISTOBAL COLON,341
287,ATLANTIDA,LA CEIBA,CEB CRISTOBAL COLON,340
288,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,336
289,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,336
290,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,336
291,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,336
292,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,335
293,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,335
294,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,335
295,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,335
296,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,335
297,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,335
298,ATLANTIDA,LA CEIBA,ESC. RAMON MONTOYA,335
299,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DE ALEMANIA #1,364
300,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DE ALEMANIA #1,364
301,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DE ALEMANIA #1,364
302,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DE ALEMANIA #1,364
303,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DE ALEMANIA #1,364
304,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DE ALEMANIA #1,364
305,ATLANTIDA,LA CEIBA,ESC. REPUBLICA DE ALEMANIA #1,364
306,ATLANTIDA,LA CEIBA,ESC. MARGIE DIP,229
307,ATLANTIDA,LA CEIBA,ESC. MARGIE DIP,229
308,ATLANTIDA,LA CEIBA,REPUBLICA DE ALEMANIA #2,339
309,ATLANTIDA,LA CEIBA,REPUBLICA DE ALEMANIA #2,338
310,ATLANTIDA,LA CEIBA,ESC. GUSTAVO A. MARTINEZ,295
311,ATLANTIDA,LA CEIBA,ESC. GUSTAVO A. MARTINEZ,295
312,ATLANTIDA,LA CEIBA,ESC. GUSTAVO A. MARTINEZ,295
313,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
314,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
315,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
316,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
317,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
318,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
319,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
320,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,336
321,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,335
322,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,335
323,ATLANTIDA,LA CEIBA,ESC. CARLOS HARTLING,352
324,ATLANTIDA,LA CEIBA,ESC. CARLOS HARTLING,352
325,ATLANTIDA,LA CEIBA,ESC. CARLOS HARTLING,352
326,ATLANTIDA,LA CEIBA,ESC. CARLOS HARTLING,352
327,ATLANTIDA,LA CEIBA,ESC. CARLOS HARTLING,352
328,ATLANTIDA,LA CEIBA,ESC. CARLOS HARTLING,352
329,ATLANTIDA,LA CEIBA,ESC. CARLOS HARTLING,351
330,ATLANTIDA,LA CEIBA,ESC. JUAN LINDO,358
331,ATLANTIDA,LA CEIBA,ESC. JUAN LINDO,358
332,ATLANTIDA,LA CEIBA,ESC. JUAN LINDO,358
333,ATLANTIDA,LA CEIBA,ESC. EL PROGRESO,308
334,ATLANTIDA,LA CEIBA,ESC. RURAL MIXTA MARCO AURELIO SOTO,368
335,ATLANTIDA,LA CEIBA,ESC. RURAL MIXTA MARCO AURELIO SOTO,368
336,ATLANTIDA,LA CEIBA,ESC. RURAL MIXTA MARCO AURELIO SOTO,367
337,ATLANTIDA,LA CEIBA,ESC. LA LIBERTAD,359
338,ATLANTIDA,LA CEIBA,ESC. LA LIBERTAD,359
339,ATLANTIDA,LA CEIBA,ESC. LA LIBERTAD,359
340,ATLANTIDA,LA CEIBA,ESC. LA LIBERTAD,359
341,ATLANTIDA,LA CEIBA,ESC. LA LIBERTAD,359
342,ATLANTIDA,LA CEIBA,ESC. LA LIBERTAD,359
343,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,301
344,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,301
345,ATLANTIDA,LA CEIBA,ESC. RAMON ROSA,301
346,ATLANTIDA,LA CEIBA,CEB. MINERVA,283
347,ATLANTIDA,LA CEIBA,CEB. MINERVA,283
348,ATLANTIDA,LA CEIBA,CEB. MINERVA,282
349,ATLANTIDA,LA CEIBA,ESC. JUSTO RUFINO SPILBURY,322
350,ATLANTIDA,LA CEIBA,ESC. JUSTO RUFINO SPILBURY,322
351,ATLANTIDA,LA CEIBA,ESC. JUSTO RUFINO SPILBURY,322
